policy,sigma,episode,reset_seed,reward,steps,success,max_force,mean_force,violation_rate,pre_frac,contact_frac,manip_frac,manip_entered,near_object_frac,safe_contact_ratio,safe_contact_per_near,contact_avoidance_index,grasp_detected_frac,lift_active_frac,close_active_frac,min_dist
M4_1_baseline,0.0,29,29,2133.330551926286,500,1.0,22.86893639744394,5.834516499991928,0.002,0.008,0.024,0.936,1.0,0.968,0.16666666666666666,0.004132231404958678,0.9958677685950413,0.0,0.0,0.0,0.01497090716434642
SAC_Value_2M,0.06,0,0,2164.9508566238974,500,1.0,31.157747373020904,6.083246216230566,0.178,0.008,0.028,0.938,1.0,0.974,0.42857142857142855,0.012320328542094456,0.9876796714579056,0.0,0.0,0.0,0.007546632813609318
SAC_Value_2M,0.06,1,1,59.948710115205564,500,0.0,101.65440956566572,7.949246919501424,0.146,0.13,0.392,0.0,0.0,0.522,0.29591836734693877,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.019462619082487708
SAC_Value_2M,0.06,2,2,2177.082519008664,500,1.0,22.90852889581066,8.179647705785792,0.102,0.008,0.026,0.94,1.0,0.974,0.46153846153846156,0.012320328542094456,0.9876796714579056,0.0,0.0,0.0,0.013559612477372767
SAC_Value_2M,0.06,3,3,2188.49418618005,500,1.0,38.43876866356179,4.948592316278296,0.002,0.01,0.022,0.95,1.0,0.982,0.36363636363636365,0.008146639511201629,0.9918533604887984,0.0,0.0,0.0,0.012903779181869145
SAC_Value_2M,0.06,4,4,81.67533206973708,500,0.0,76.16418142565732,4.66977554516187,0.046,0.046,0.14,0.042,0.0,0.228,0.2857142857142857,0.17543859649122806,0.8245614035087719,0.0,0.0,0.0,0.02050643424368974
SAC_Value_2M,0.06,5,5,2200.5668821924255,500,1.0,47.40824430106795,5.833566756878283,0.194,0.008,0.026,0.954,1.0,0.988,0.38461538461538464,0.010121457489878543,0.9898785425101214,0.0,0.0,0.0,0.00888208503785912
SAC_Value_2M,0.06,6,6,2139.7631641130306,500,1.0,78.91605650968368,5.9885082824778255,0.002,0.01,0.026,0.952,1.0,0.988,0.46153846153846156,0.012145748987854251,0.9878542510121457,0.0,0.0,0.0,0.01584095459718784
SAC_Value_2M,0.06,7,7,2136.974367530532,500,1.0,38.67734005623991,5.814609845087441,0.004,0.01,0.022,0.958,1.0,0.99,0.5454545454545454,0.012121212121212121,0.9878787878787879,0.0,0.0,0.0,0.010454208708211619
SAC_Value_2M,0.06,8,8,12.317538269861592,500,0.0,78.34282063972948,2.2500343894646035,0.006,0.03,0.078,0.0,0.0,0.108,0.48717948717948717,0.35185185185185186,0.6481481481481481,0.0,0.0,0.0,0.030039707370048494
